Web Search interest: anna hansen
Worldwide; 2004 - present

Interest over time
Month,anna hansen
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,2
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,2
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,100
2009-01,14
2009-02,4
2009-03,6
2009-04,7
2009-05,13
2009-06,41
2009-07,19
2009-08,4
2009-09,3
2009-10,2
2009-11,2
2009-12,2
2010-01,3
2010-02,2
2010-03,2
2010-04,5
2010-05,7
2010-06,3
2010-07,7
2010-08,2
2010-09,2
2010-10,9
2010-11,2
2010-12,3
2011-01,2
2011-02,2
2011-03,1
2011-04,1
2011-05,2
2011-06,3
2011-07,2
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,9
2012-09,2
2012-10,3
2012-11,1
2012-12,1
2013-01,10
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,2
2014-04,1
2014-05,1
2014-06,1
2014-07,3
2014-08,1
2014-09,1
2014-10,2
2014-11,1
2014-12,1
2015-01,1
2015-02,0


Top regions for anna hansen
Region,anna hansen
Denmark,100
Norway,44
United States,19
Sweden,19
Canada,11
Australia,9
Germany,8
United Kingdom,5
France,4


Top cities for anna hansen
City,anna hansen
Copenhagen (Denmark),100
Austin (United States),49
Oslo (Norway),44
Denver (United States),35
San Francisco (United States),27
Washington (United States),24
Stockholm (Sweden),23
Seattle (United States),21
Atlanta (United States),19
Los Angeles (United States),19
San Diego (United States),19
Houston (United States),18
Dallas (United States),17
New York (United States),16
Chicago (United States),15



Top searches for anna hansen
armstrong anna hansen,100
anna hansen lance,95
lance armstrong anna,90
lance armstrong girlfriend,10
kristin armstrong,10
anna hansen photo,10
anne hansen,5
anna hansen facebook,5
lance armstrong wife,5
anna hansen twitter,5
anna hansen wiki,5
kristin richard,5
anna marie hansen,5
anna hanson,5
anna maria hansen,5
anna hansen photos,5
anna hansen colorado,5
anna lind hansen,5
anna hansen pictures,5
lance armstrong baby,5
lance armstrong married,5
kate hansen,5
anna hansen wikipedia,5



Rising searches for anna hansen
anna hansen facebook,Breakout
anna hansen lance,Breakout
anna hansen photo,Breakout
anna hansen twitter,Breakout
anne hansen,Breakout
armstrong anna hansen,Breakout
kristin armstrong,Breakout
lance armstrong anna,Breakout
lance armstrong girlfriend,Breakout
lance armstrong wife,Breakout



