Web Search interest: house of cards
Worldwide; 2004 - present

Interest over time
Month,house of cards
2004-01,1
2004-02,1
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,2
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,3
2008-08,2
2008-09,2
2008-10,1
2008-11,1
2008-12,2
2009-01,1
2009-02,3
2009-03,3
2009-04,2
2009-05,1
2009-06,1
2009-07,1
2009-08,2
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,3
2013-02,40
2013-03,23
2013-04,16
2013-05,14
2013-06,13
2013-07,15
2013-08,18
2013-09,20
2013-10,15
2013-11,14
2013-12,19
2014-01,24
2014-02,100
2014-03,61
2014-04,36
2014-05,32
2014-06,27
2014-07,27
2014-08,26
2014-09,25
2014-10,23
2014-11,21
2014-12,25
2015-01,37
2015-02,36


Top regions for house of cards
Region,house of cards
Ireland,100
United States,96
Canada,87
Iceland,82
Norway,78
Australia,71
Poland,66
Denmark,66
New Zealand,63
United Kingdom,62
Sweden,58
Greece,57
Kenya,56
Puerto Rico,52
Hong Kong,51
Macedonia (FYROM),51
France,49
Singapore,49
Netherlands,48
Austria,47
Luxembourg,47
Switzerland,43
Romania,42
Argentina,40
Italy,39
Germany,39
South Africa,38
Czech Republic,36
Belgium,36
Israel,36
Serbia,35
Croatia,35
Pakistan,34
United Arab Emirates,34
Cyprus,34
Lebanon,31
Uruguay,31
Portugal,31
Estonia,29
Spain,28
Dominican Republic,28
Mexico,28
Slovenia,28
Qatar,27
Finland,26
Chile,26
Bangladesh,26
India,25
Hungary,25
South Korea,25
Tunisia,24
Nigeria,24
Bosnia & Herzegovina,24
Latvia,23
Costa Rica,22
Philippines,22
Morocco,22
Lithuania,18
Slovakia,17
Brazil,17
Taiwan,16
Algeria,15
Malaysia,14
Bulgaria,13
Turkey,12
Iran,12
Colombia,12
Ecuador,11
Saudi Arabia,10
Peru,9
Russia,8
Egypt,8
Venezuela,8
Ukraine,6
China,5
Thailand,5
Indonesia,4
Japan,2
Vietnam,2


Top cities for house of cards
City,house of cards
Melbourne (Australia),100
Sydney (Australia),96
New York (United States),70
Washington (United States),61
Dublin (Ireland),60
Austin (United States),56
Los Angeles (United States),51
Vancouver (Canada),51
Toronto (Canada),49
Boston (United States),47
San Francisco (United States),47
Chicago (United States),45
Montreal (Canada),42
Seattle (United States),41
Stockholm (Sweden),41



Top searches for house of cards
kate mara,100
kevin spacey,80
robin wright,60
house of card,40
rachel brosnahan,20
frank underwood,20
kristen connolly,20
house of lies,20
netflix series,20
zoe barnes,15
peter russo,15
molly parker,15
corey stoll,10
claire underwood,10
house of cars,10
doug stamper,5
netflix original series,5
house majority whip,5
constance zimmer,5
majority whip,5
rachel posner,5



Rising searches for house of cards
kate mara,Breakout
kevin spacey,Breakout
robin wright,Breakout



