Web Search interest: national signing day
Worldwide; 2004 - present

Interest over time
Month,national signing day
2004-01,0
2004-02,21
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,18
2005-02,29
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,18
2006-02,19
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,3
2006-12,9
2007-01,16
2007-02,34
2007-03,2
2007-04,2
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,2
2007-12,4
2008-01,19
2008-02,46
2008-03,1
2008-04,2
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,2
2008-11,3
2008-12,4
2009-01,27
2009-02,48
2009-03,1
2009-04,3
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,4
2009-12,3
2010-01,26
2010-02,47
2010-03,1
2010-04,3
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,3
2010-12,3
2011-01,25
2011-02,58
2011-03,3
2011-04,2
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,4
2011-12,4
2012-01,33
2012-02,60
2012-03,3
2012-04,8
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,5
2012-12,4
2013-01,26
2013-02,96
2013-03,2
2013-04,7
2013-05,2
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,2
2013-11,5
2013-12,4
2014-01,29
2014-02,89
2014-03,3
2014-04,11
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,2
2014-11,5
2014-12,3
2015-01,28
2015-02,100


Top regions for national signing day
Region,national signing day
United States,100


Top cities for national signing day
City,national signing day
Tuscaloosa (United States),100
Tallahassee (United States),49
Birmingham (United States),49
Knoxville (United States),36
Jackson (United States),30
Atlanta (United States),25
Jacksonville (United States),23
Nashville (United States),22
New Orleans (United States),18
Columbus (United States),18
Charlotte (United States),17
Austin (United States),17
Houston (United States),15
Orlando (United States),15
Dallas (United States),14



Top searches for national signing day
football signing day,100
signing day 2014,60
signing day 2013,45
college signing day,40
signing day 2012,35
national recruiting day,25
espn signing day,15
signing day rankings,10
national sibling day,10



Rising searches for national signing day
college signing day,Breakout
espn signing day,Breakout
national recruiting day,Breakout
national sibling day,Breakout
signing day 2012,Breakout
signing day 2013,Breakout
signing day 2014,Breakout
signing day rankings,Breakout
football signing day,+50%



