Web Search interest: state of the union address
Worldwide; 2004 - present

Interest over time
Month,state of the union address
2004-01,95
2004-02,17
2004-03,6
2004-04,6
2004-05,5
2004-06,3
2004-07,3
2004-08,2
2004-09,4
2004-10,4
2004-11,4
2004-12,2
2005-01,12
2005-02,63
2005-03,5
2005-04,5
2005-05,3
2005-06,2
2005-07,2
2005-08,1
2005-09,1
2005-10,2
2005-11,3
2005-12,3
2006-01,28
2006-02,68
2006-03,5
2006-04,4
2006-05,3
2006-06,1
2006-07,1
2006-08,1
2006-09,2
2006-10,2
2006-11,2
2006-12,3
2007-01,61
2007-02,8
2007-03,3
2007-04,2
2007-05,2
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,2
2007-12,2
2008-01,28
2008-02,6
2008-03,2
2008-04,2
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,2
2008-11,2
2008-12,2
2009-01,5
2009-02,11
2009-03,2
2009-04,1
2009-05,1
2009-06,0
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,2
2010-01,100
2010-02,15
2010-03,3
2010-04,2
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,2
2011-01,53
2011-02,7
2011-03,2
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,39
2012-02,5
2012-03,2
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,4
2013-02,34
2013-03,2
2013-04,1
2013-05,1
2013-06,0
2013-07,0
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,33
2014-02,7
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,0
2014-08,0
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,15


Top regions for state of the union address
Region,state of the union address
United States,100
Canada,16
United Kingdom,4
Germany,3


Top cities for state of the union address
City,state of the union address
Washington (United States),100
Baltimore (United States),59
Philadelphia (United States),53
New York (United States),53
Portland (United States),52
San Diego (United States),51
San Francisco (United States),51
Pittsburgh (United States),47
Austin (United States),47
Seattle (United States),47
Atlanta (United States),46
Denver (United States),46
Chicago (United States),45
Orlando (United States),44
St. Louis (United States),43



Top searches for state of the union address
obama address,100
presidential address,20
sotu address,5



Rising searches for state of the union address
obama address,Breakout
presidential address,+100%



