Web Search interest: whitney houston
Worldwide; 2004 - present

Interest over time
Month,whitney houston
2004-01,1
2004-02,2
2004-03,2
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,2
2006-04,3
2006-05,2
2006-06,1
2006-07,1
2006-08,1
2006-09,2
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,2
2009-08,2
2009-09,4
2009-10,3
2009-11,2
2009-12,2
2010-01,1
2010-02,2
2010-03,1
2010-04,3
2010-05,2
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,100
2012-03,9
2012-04,4
2012-05,3
2012-06,2
2012-07,2
2012-08,2
2012-09,1
2012-10,2
2012-11,2
2012-12,2
2013-01,2
2013-02,2
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,3
2015-02,10


Top regions for whitney houston
Region,whitney houston
Jamaica,100
Bahamas,82
Madagascar,74
Barbados,73
Guyana,65
Trinidad & Tobago,64
Botswana,48
Haiti,47
Suriname,47
Namibia,46
Kenya,40
Zimbabwe,40
Ghana,39
Mozambique,38
Uganda,37
United States,37
South Africa,36
Angola,34
Nigeria,30
Guadeloupe,30
Cameroon,29
Zambia,28
Martinique,27
Tanzania,24
Mauritius,23
Philippines,23
Armenia,23
Puerto Rico,23
Panama,22
Canada,22
United Kingdom,21
Senegal,21
Georgia,20
Dominican Republic,19
Côte d’Ivoire,18
Réunion,18
Brunei,17
Ireland,17
Lebanon,15
Australia,14
Nicaragua,14
Honduras,14
Brazil,14
Paraguay,14
Malta,13
Italy,13
Singapore,13
Uruguay,13
Poland,13
Costa Rica,13
New Zealand,12
Slovakia,12
Iceland,12
Portugal,12
Netherlands,12
Cyprus,12
Macedonia (FYROM),12
Romania,12
Azerbaijan,12
Malaysia,12
Denmark,11
Sweden,11
Venezuela,11
El Salvador,11
Argentina,11
Belgium,11
Indonesia,11
Guatemala,11
Hungary,11
Germany,11
Chile,11
Albania,11
France,11
Bulgaria,10
Austria,10
Spain,10
Luxembourg,10
Switzerland,10
Norway,10
Mexico,10
Ecuador,10
Serbia,9
Croatia,9
Slovenia,9
Tunisia,9
Moldova,9
Greece,9
Lithuania,8
United Arab Emirates,8
Bosnia & Herzegovina,8
Colombia,8
Estonia,8
Czech Republic,7
Algeria,7
Hong Kong,7
Qatar,7
Finland,7
Peru,6
Morocco,6
Kuwait,6
Bahrain,6
Sri Lanka,6
Kazakhstan,6
Latvia,5
Bolivia,5
Turkey,5
Israel,4
Vietnam,4
Thailand,4
Ukraine,4
Egypt,4
Jordan,4
South Korea,3
Iran,3
Belarus,3
Russia,3
Saudi Arabia,2
Taiwan,2
Pakistan,2
India,2
Iraq,2
Japan,1
China,1


Top cities for whitney houston
City,whitney houston
Charlotte (United States),100
New York (United States),99
Washington (United States),92
Chicago (United States),89
Dallas (United States),89
Philadelphia (United States),88
San Antonio (United States),87
Atlanta (United States),86
Houston (United States),83
San Francisco (United States),81
Boston (United States),81
Austin (United States),76
Los Angeles (United States),58
Seattle (United States),55
London (United Kingdom),53



Top searches for whitney houston
lyrics whitney houston,100
whitney houston death,100
whitney houston will,90
whitney houston news,70
youtube whitney houston,55
whitney houston songs,50
whitney houston funeral,50
whitney houston dead,40
whitney houston casket,30
i have nothing,30
mariah carey,25
whitney houston mp3,25
bobby brown,25
whitney houston died,25
whitney houston 2012,25
whitney houston daughter,25
bobbi kristina,20
whitney houston movie,15
whitney houston album,15
bobbi brown,15
whitney houston bodyguard,15
witney,15
bodyguard,15
witney houston,15
ray j,15
when you believe,10
bobbi kristina brown,10
whitney houston wikipedia,10
enquirer whitney houston,10
huston,10
whitney huston,10
whitney houston wiki,10
whitney houston morte,10
national enquirer,10
whitney houston 2011,10
whitney houston drugs,10
tmz whitney houston,10
musicas whitney houston,10
whitney houston tot,10
kevin costner,10
muerte whitney houston,10
withney houston,10
whitney houston murio,5
whitney houston interview,5
jennifer hudson,5
whitney houston 2010,5
the bodyguard,5



Rising searches for whitney houston
whitney houston 2012,Breakout
whitney houston casket,Breakout
whitney houston dead,Breakout
whitney houston death,Breakout
whitney houston died,Breakout
whitney houston funeral,Breakout
youtube whitney houston,Breakout
whitney houston news,+750%
whitney houston daughter,+400%
bobby brown,+140%



