Web Search interest: daniel von bargen
Worldwide; 2004 - present

Interest over time
Month,daniel von bargen
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,1
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,1
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,100
2012-03,31
2012-04,23
2012-05,3
2012-06,3
2012-07,2
2012-08,2
2012-09,1
2012-10,1
2012-11,1
2012-12,2
2013-01,2
2013-02,2
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,2
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,0
2014-04,1
2014-05,1
2014-06,0
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,0
2014-12,0
2015-01,1
2015-02,0
2015-03,93


Top regions for daniel von bargen
Region,daniel von bargen
United States,100
Canada,91


Top cities for daniel von bargen
City,daniel von bargen
Philadelphia (United States),100
Chicago (United States),97
Austin (United States),94
Boston (United States),93
Seattle (United States),82
Dallas (United States),74
San Francisco (United States),72
New York (United States),69
Houston (United States),67
Washington (United States),63
Los Angeles (United States),63
Toronto (Canada),60



Top searches for daniel von bargen
seinfeld actor,100
seinfeld kruger,55
mr kruger,25



Rising searches for daniel von bargen
mr kruger,Breakout
seinfeld actor,Breakout
seinfeld kruger,Breakout



