Web Search interest: first day of spring
Worldwide; 2004 - present

Interest over time
Month,first day of spring
2004-01,1
2004-02,2
2004-03,5
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,1
2005-02,1
2005-03,5
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,1
2006-02,1
2006-03,5
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,1
2007-02,1
2007-03,5
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,1
2008-02,2
2008-03,100
2008-04,1
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,2
2008-10,0
2008-11,0
2008-12,0
2009-01,1
2009-02,2
2009-03,5
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,1
2010-02,2
2010-03,5
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,1
2011-02,2
2011-03,7
2011-04,1
2011-05,1
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,1
2012-02,2
2012-03,7
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,1
2013-02,3
2013-03,9
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,1
2014-02,3
2014-03,10
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,1
2015-02,3
2015-03,9


Top regions for first day of spring
Region,first day of spring
United States,100
Canada,76
United Kingdom,29
Turkey,24
New Zealand,22
Italy,19
Ireland,19
Morocco,19
Romania,17
Australia,16
Portugal,14
Egypt,12
Belgium,12
France,11
Switzerland,11
Chile,11
Poland,10
Germany,10
Spain,10
India,7
Sweden,7
China,5
Thailand,5
Mexico,5
Japan,5


Top cities for first day of spring
City,first day of spring
Philadelphia (United States),100
New York (United States),85
Boston (United States),77
Washington (United States),76
Chicago (United States),76
Charlotte (United States),73
Atlanta (United States),65
San Francisco (United States),63
Denver (United States),61
Seattle (United States),61
Calgary (Canada),60
Toronto (Canada),59
Austin (United States),47
Los Angeles (United States),46
Dallas (United States),46



Top searches for first day of spring
spring 2014,100
when is spring,100
spring 2013,65
spring 2015,65
spring 2011,45
spring 2010,25
spring equinox,10
spring 2008,10
vernal equinox,5
spring quotes,5
happy spring,5
spring solstice,5
spring 2006,5



Rising searches for first day of spring
spring 2008,Breakout
spring 2010,Breakout
spring 2011,Breakout
spring 2013,Breakout
spring 2014,Breakout
spring 2015,Breakout
when is spring,+200%



