Web Search interest: house of cards
Worldwide; 2004 - present

Interest over time
Month,house of cards
2004-01,1
2004-02,1
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,2
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,2
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,3
2008-08,2
2008-09,2
2008-10,1
2008-11,1
2008-12,2
2009-01,1
2009-02,3
2009-03,3
2009-04,2
2009-05,1
2009-06,1
2009-07,1
2009-08,2
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,3
2013-02,39
2013-03,23
2013-04,16
2013-05,14
2013-06,13
2013-07,15
2013-08,18
2013-09,20
2013-10,15
2013-11,14
2013-12,19
2014-01,24
2014-02,100
2014-03,62
2014-04,36
2014-05,32
2014-06,27
2014-07,27
2014-08,27
2014-09,25
2014-10,22
2014-11,22
2014-12,25
2015-01,37
2015-02,37


Top regions for house of cards
Region,house of cards
Ireland,100
United States,96
Canada,87
Iceland,81
Norway,77
Australia,71
Poland,66
Denmark,64
New Zealand,62
United Kingdom,61
Sweden,58
Kenya,56
Greece,56
Puerto Rico,51
Macedonia (FYROM),51
Hong Kong,51
France,48
Singapore,48
Netherlands,47
Luxembourg,47
Austria,46
Switzerland,45
Romania,41
Argentina,40
Italy,40
South Africa,38
Germany,38
Czech Republic,37
Serbia,36
Israel,36
Croatia,36
Belgium,35
Pakistan,34
Cyprus,33
United Arab Emirates,32
Estonia,30
Uruguay,30
Portugal,30
Mexico,28
Spain,28
Slovenia,28
Dominican Republic,27
Finland,26
India,25
Hungary,25
Tunisia,25
Chile,25
South Korea,24
Latvia,24
Bangladesh,24
Nigeria,24
Bosnia & Herzegovina,23
Philippines,22
Costa Rica,21
Morocco,21
Lithuania,18
Slovakia,17
Brazil,17
Algeria,16
Taiwan,16
Malaysia,14
Bulgaria,13
Turkey,13
Iran,12
Colombia,12
Ecuador,11
Saudi Arabia,10
Peru,9
Venezuela,8
Russia,8
Egypt,8
Ukraine,6
China,5
Thailand,5
Indonesia,4
Japan,2
Vietnam,2


Top cities for house of cards
City,house of cards
Melbourne (Australia),100
Sydney (Australia),98
New York (United States),72
Washington (United States),62
Dublin (Ireland),59
Austin (United States),57
Vancouver (Canada),54
Los Angeles (United States),52
Toronto (Canada),50
San Francisco (United States),49
Chicago (United States),46
Montreal (Canada),44
Seattle (United States),43
Warsaw (Poland),42
London (United Kingdom),41



Top searches for house of cards
kate mara,100
kevin spacey,80
robin wright,65
house of card,40
rachel brosnahan,25
frank underwood,20
house of lies,20
kristen connolly,20
netflix series,20
zoe barnes,15
peter russo,15
molly parker,15
corey stoll,10
claire underwood,10
house of cars,10
doug stamper,10
netflix original series,5
constance zimmer,5
house majority whip,5
majority whip,5
rachel posner,5
michael dobbs,5
sandrine holt,5



Rising searches for house of cards
kate mara,Breakout
kevin spacey,Breakout
robin wright,Breakout



