Web Search interest: india vs bangladesh
Worldwide; 2004 - present

Interest over time
Month,india vs bangladesh
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,3
2004-08,5
2004-09,7
2004-10,9
2004-11,11
2004-12,13
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,11
2007-04,1
2007-05,27
2007-06,1
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,11
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,12
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,1
2009-12,1
2010-01,63
2010-02,2
2010-03,0
2010-04,0
2010-05,1
2010-06,6
2010-07,0
2010-08,0
2010-09,0
2010-10,1
2010-11,0
2010-12,1
2011-01,1
2011-02,77
2011-03,5
2011-04,2
2011-05,1
2011-06,1
2011-07,0
2011-08,1
2011-09,1
2011-10,2
2011-11,2
2011-12,2
2012-01,1
2012-02,1
2012-03,78
2012-04,1
2012-05,1
2012-06,1
2012-07,2
2012-08,1
2012-09,2
2012-10,0
2012-11,2
2012-12,2
2013-01,1
2013-02,1
2013-03,2
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,2
2013-10,2
2013-11,1
2013-12,1
2014-01,1
2014-02,49
2014-03,39
2014-04,2
2014-05,3
2014-06,100
2014-07,3
2014-08,3
2014-09,1
2014-10,2
2014-11,2
2014-12,1
2015-01,1
2015-02,7
2015-03,38


Top regions for india vs bangladesh
Region,india vs bangladesh
Bangladesh,100
India,34
Pakistan,27
United Arab Emirates,19
Saudi Arabia,6
Singapore,5
Malaysia,2
Australia,2
United Kingdom,1
Canada,1
United States,1


Top cities for india vs bangladesh
City,india vs bangladesh
Dhaka (Bangladesh),100
Howrah (India),44
Peshawar (Pakistan),36
Hyderabad (India),33
Mumbai (India),32
Bhopal (India),32
Lucknow (India),32
New Okhla Industrial Development Area (India),31
Chennai (India),30
Pune (India),29
Jaipur (India),28
Bangalore (India),28
New Delhi (India),27
Gurgaon (India),26
Karachi (Pakistan),24



Top searches for india vs bangladesh
bangladesh cricket,100
india cricket,100
india score,75
asia cup,30
pakistan vs bangladesh,25
asia cup live,15
bangladesh vs england,15
australia vs bangladesh,15
asia cup 2014,10
srilanka vs bangladesh,10
ind vs bangladesh,10
asia cup 2012,5
pak vs bangladesh,5



Rising searches for india vs bangladesh
asia cup,Breakout
india score,Breakout
pakistan vs bangladesh,Breakout



