Web Search interest: israel election
Worldwide; 2004 - present

Interest over time
Month,israel election
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,4
2004-11,6
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,3
2005-12,4
2006-01,5
2006-02,4
2006-03,20
2006-04,7
2006-05,3
2006-06,3
2006-07,3
2006-08,2
2006-09,2
2006-10,2
2006-11,2
2006-12,2
2007-01,2
2007-02,2
2007-03,2
2007-04,2
2007-05,1
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,1
2007-12,1
2008-01,1
2008-02,2
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,3
2008-10,4
2008-11,8
2008-12,2
2009-01,7
2009-02,34
2009-03,3
2009-04,2
2009-05,2
2009-06,3
2009-07,1
2009-08,1
2009-09,1
2009-10,0
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,2
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,2
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,0
2011-08,0
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,2
2012-04,1
2012-05,2
2012-06,1
2012-07,1
2012-08,2
2012-09,3
2012-10,4
2012-11,8
2012-12,2
2013-01,15
2013-02,2
2013-03,2
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,0
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,2
2014-08,1
2014-09,1
2014-10,1
2014-11,2
2014-12,2
2015-01,3
2015-02,4
2015-03,100


Top regions for israel election
Region,israel election
Israel,100
Canada,21
United States,19
United Kingdom,8
France,7


Top cities for israel election
City,israel election
Tel Aviv (Israel),100
Washington (United States),41
New York (United States),34
Toronto (Canada),31
Los Angeles (United States),21
London (United Kingdom),14
Paris (France),13
Chicago (United States),12



Top searches for israel election
election in israel,100
israel election results,80
israel election news,50
israeli election,45
election polls israel,35
israel elections,35
election israel 2015,35
election israel 2013,30
netanyahu election,15
election israel 2009,15
israeli election results,10
israel election day,10
election israel 2014,10
israel election poll,10
israeli elections,10
israel election 2006,10
israel next election,10
israel election date,10
election israel 2008,10
israel general election,10
israeli election polls,10
isreal election,5
election en israel,5
elections in israel,5



Rising searches for israel election
election in israel,Breakout
election israel 2013,Breakout
election israel 2015,Breakout
election polls israel,Breakout
israel election news,Breakout
israel election results,Breakout
israel elections,Breakout
israeli election,Breakout



