Web Search interest: valentines day
Worldwide; 2004 - present

Interest over time
Month,valentines day
2004-01,26
2004-02,73
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,0
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,2
2005-01,24
2005-02,80
2005-03,2
2005-04,1
2005-05,1
2005-06,1
2005-07,0
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,2
2006-01,23
2006-02,80
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,2
2006-12,2
2007-01,23
2007-02,81
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,2
2008-01,21
2008-02,67
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,2
2009-01,22
2009-02,72
2009-03,2
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,2
2009-09,1
2009-10,1
2009-11,1
2009-12,2
2010-01,19
2010-02,73
2010-03,3
2010-04,2
2010-05,3
2010-06,2
2010-07,2
2010-08,2
2010-09,1
2010-10,1
2010-11,1
2010-12,2
2011-01,16
2011-02,69
2011-03,2
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,2
2012-01,19
2012-02,100
2012-03,2
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,16
2013-02,87
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,16
2014-02,88
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,18
2015-02,72


Top regions for valentines day
Region,valentines day
United States,100
South Africa,89
Guam,83
Trinidad & Tobago,81
Australia,72
Philippines,70
Bahamas,69
Jamaica,68
Bangladesh,63
Canada,63
Nepal,61
United Kingdom,54
New Zealand,49
Ireland,48
United Arab Emirates,47
Norway,44
Malta,42
Pakistan,42
Singapore,40
Lebanon,40
India,40
Zimbabwe,39
Qatar,36
Sri Lanka,35
Kenya,34
Uganda,33
Myanmar (Burma),32
Mauritius,31
Puerto Rico,30
Ethiopia,30
Bahrain,29
Iceland,28
Kuwait,27
Estonia,27
Denmark,26
Cyprus,25
Romania,24
Macedonia (FYROM),24
Nigeria,22
Ghana,21
Oman,19
Malaysia,19
Honduras,18
Hong Kong,16
Sweden,13
Latvia,12
Moldova,12
Guatemala,12
Croatia,11
Finland,11
Slovenia,10
Lithuania,9
Greece,9
Iran,9
Dominican Republic,8
Egypt,8
Bosnia & Herzegovina,8
Jordan,8
Saudi Arabia,7
Mexico,7
Bolivia,7
Costa Rica,7
Serbia,7
Thailand,7
South Korea,6
Portugal,6
Israel,6
Brazil,6
Iraq,5
Switzerland,5
Netherlands,5
Austria,5
Bulgaria,4
Germany,4
Ecuador,4
Slovakia,4
Vietnam,4
Czech Republic,4
Indonesia,4
Hungary,3
Poland,3
Belgium,3
Colombia,3
Morocco,3
Taiwan,3
Venezuela,2
Spain,2
Ukraine,2
Peru,2
Chile,2
Turkey,2
China,2
Argentina,2
France,1
Japan,1
Russia,1
Italy,1


Top cities for valentines day
City,valentines day
Los Angeles (United States),100
New York (United States),97
Chicago (United States),92
Miami (United States),91
San Antonio (United States),90
Philadelphia (United States),89
San Diego (United States),85
Dallas (United States),81
Houston (United States),81
Atlanta (United States),80
Boston (United States),78
Washington (United States),78
San Francisco (United States),77
Phoenix (United States),74
Austin (United States),74



Top searches for valentines day
valentines day ideas,100
happy valentines,75
happy valentines day,75
valentines gifts,60
valentines day gifts,60
valentine day,55
valentine,55
valentines cards,50
valentines day cards,50
valentines day quotes,45
valentines day poems,30
valentines poems,30
valentines day gift,25
valentines day funny,25
valentines day card,25
cute valentines day,20
valentines day 2012,20
valentines day pictures,15
valentines day movie,15
valentines day images,15
valentines day flowers,15
valentines day heart,15
valentines day lyrics,10
valentines day 2014,10
valentines day history,10
valentines day crafts,10
st valentines day,10
valentines day 2013,10
valentines day dinner,10
valentines day games,10
valentines day messages,10
valentines day date,10
valentines day sayings,10
valentines day roses,10
ecards valentines day,10
valentine day cards,5
valentines day poem,5
hate valentines day,5
valentines day movies,5
valentines day recipes,5
valentines day songs,5
san valentines day,5
valentines day art,5
valentines day hearts,5
valentines day massacre,5
valentines day presents,5
valentines day sms,5
valentines day 2015,5
valentines day candy,5
valentines day 2010,5



Rising searches for valentines day
valentines day 2012,Breakout
valentines day 2013,Breakout
valentines day 2014,Breakout
valentines day movie,+600%
happy valentines,+450%
happy valentines day,+450%
cute valentines day,+350%
valentines day images,+250%
valentines day quotes,+130%
valentines day sayings,+100%



